gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,people on street
238820,3125,Žvelgaičio g.,3,Verkiai,Vilnius,25.2951,54.7885,Žvelgaičio g. 3,34
335438,3641,Jano Sniadeckio g.,2A,Antakalnis,Vilnius,25.35011,54.71834,Jano Sniadeckio g. 2A,4
22505,674,Švarioji g.,22A,Naujoji Vilnia,Vilnius,25.36251,54.67239,Švarioji g. 22A,80
213212,3046,Ukrainiečių g.,18,Naujoji Vilnia,Vilnius,25.35268,54.6446,Ukrainiečių g. 18,110
291868,3436,Daugirdų g.,10,Paneriai,Vilnius,25.12315,54.61315,Daugirdų g. 10,0
22383,544,Tilžės g.,76,Pilaitė,Vilnius,25.17853,54.71699,Tilžės g. 76,116
111684,2960,Edinburgo g.,37C,Pašilaičiai,Vilnius,25.2129,54.74326,Edinburgo g. 37C,163
22260,416,Pieninės g.,1,Žvėrynas,Vilnius,25.256,54.70239,Pieninės g. 1,481
32093,978,Vandenio g.,10A,Fabijoniškės,Vilnius,25.23662,54.75515,Vandenio g. 10A,109
22237,392,Pamėnkalnio g.,1A,Naujamiestis,Vilnius,25.27702,54.68531,Pamėnkalnio g. 1A,856
21968,112,Eigulių g.,7A,Vilkpėdė,Vilnius,25.23372,54.67356,Eigulių g. 7A,203
51040,1930,Mykolo Lietuvio g.,30,Fabijoniškės,Vilnius,25.22681,54.74842,Mykolo Lietuvio g. 30,150
105652,2928,Veisiejų g.,11,Paneriai,Vilnius,25.07635,54.60306,Veisiejų g. 11,12
22017,163,Gvazdikų g.,98A,Antakalnis,Vilnius,25.37632,54.7519,Gvazdikų g. 98A,274
219566,3055,Baskų g.,15E,Naujoji Vilnia,Vilnius,25.35757,54.65001,Baskų g. 15E,95
267413,3290,Dirkliškių g.,16A,Paneriai,Vilnius,25.09279,54.64989,Dirkliškių g. 16A,75
49216,1990,Juodvarnių g.,23,Antakalnis,Vilnius,25.38247,54.72313,Juodvarnių g. 23,82
21983,127,Gaigalų g.,8A,Antakalnis,Vilnius,25.33639,54.73941,Gaigalų g. 8A,13
265564,3268,Notangos g.,4A,Pilaitė,Vilnius,25.15348,54.72656,Notangos g. 4A,81
49158,1624,Rudausių Sodų 1-oji g.,14,Antakalnis,Vilnius,25.37033,54.76116,Rudausių Sodų 1-oji g. 14,15
53314,2248,Pupojų Sodų 7-oji g.,39,Antakalnis,Vilnius,25.37251,54.7147,Pupojų Sodų 7-oji g. 39,20
213215,3040,Antano Mikėno g.,55,Naujininkai,Vilnius,25.288,54.6124,Antano Mikėno g. 55,19
22442,607,Verkių g.,42A,Žirmūnai,Vilnius,25.29341,54.71474,Verkių g. 42A,2440
53800,2491,Kelmijos Sodų 81-oji g.,2A,Naujininkai,Vilnius,25.26754,54.60458,Kelmijos Sodų 81-oji g. 2A,40
22483,651,Šeimyniškių g.,19C,Žirmūnai,Vilnius,25.28938,54.69426,Šeimyniškių g. 19C,1341
300462,3478,Rapolo Jakimavičiaus g.,121,Paneriai,Vilnius,25.08978,54.63872,Rapolo Jakimavičiaus g. 121,0
22029,175,J. Bielinio g.,21,Naujininkai,Vilnius,25.29435,54.66051,J. Bielinio g. 21,61
220367,3062,Kaimynų g.,199,Paneriai,Vilnius,25.08986,54.64273,Kaimynų g. 199,148
273213,3352,Rykantų g.,21,Paneriai,Vilnius,25.0958,54.64927,Rykantų g. 21,27
49932,1662,Pakalnio g.,10A,Verkiai,Vilnius,25.25318,54.7467,Pakalnio g. 10A,27
59710,2571,Svirno g.,25,Rasos,Vilnius,25.30974,54.61836,Svirno g. 25,51
28028,807,Petro Baublio g.,17,Verkiai,Vilnius,25.28583,54.75371,Petro Baublio g. 17,90
50262,1751,Katiliškių g.,102D,Rasos,Vilnius,25.31858,54.60798,Katiliškių g. 102D,53
24279,728,P. Lukšio g.,6,Žirmūnai,Vilnius,25.29014,54.71267,P. Lukšio g. 6,0
274161,3358,Vytauto Pociūno g.,3,Pilaitė,Vilnius,25.2045,54.70337,Vytauto Pociūno g. 3,0
21966,110,Džiaugsmo g.,125,Naujoji Vilnia,Vilnius,25.39974,54.67776,Džiaugsmo g. 125,437
109347,2949,Pukuvero g.,38A,Verkiai,Vilnius,25.29002,54.78235,Pukuvero g. 38A,0
72532,2819,Kazio Bizausko g.,2,Naujoji Vilnia,Vilnius,25.39837,54.67743,Kazio Bizausko g. 2,313
81140,2849,Prano Dovydaičio g.,1,Naujoji Vilnia,Vilnius,25.40085,54.67789,Prano Dovydaičio g. 1,48
50616,1851,Bališkių g.,23B,Paneriai,Vilnius,25.09954,54.64522,Bališkių g. 23B,51
359923,0,Bronislavos Šėmytės-Biržiškienės g.,4,Paneriai,Vilnius,25.10686,54.62457,Bronislavos Šėmytės-Biržiškienės g. 4,10738
22269,427,Polocko g.,9C,Senamiestis,Vilnius,25.30295,54.68129,Polocko g. 9C,1388
296066,3454,Ulėnų g.,55,Naujoji Vilnia,Vilnius,25.37335,54.65492,Ulėnų g. 55,3
22117,266,Liongino Baliukevičiaus-Dzūko g.,50A,Fabijoniškės,Vilnius,25.24679,54.73488,Liongino Baliukevičiaus-Dzūko g. 50A,3630
21940,84,Dailidžių g.,14A,Rasos,Vilnius,25.31523,54.68729,Dailidžių g. 14A,200
32113,988,Grūšiakalnio g.,104,Verkiai,Vilnius,25.37186,54.77906,Grūšiakalnio g. 104,129
21992,136,A. Kojelavičiaus g.,150B,Naujoji Vilnia,Vilnius,25.39866,54.69536,A. Kojelavičiaus g. 150B,1174
22272,430,Pramonės g.,141F,Naujoji Vilnia,Vilnius,25.44215,54.69455,Pramonės g. 141F,606
21962,106,Dvarčionių g.,1B,Antakalnis,Vilnius,25.37434,54.72808,Dvarčionių g. 1B,91
81132,2845,Pečiukų g.,11,Antakalnis,Vilnius,25.37607,54.78226,Pečiukų g. 11,17
22487,655,Šešuolių g.,1B,Viršuliškės,Vilnius,25.21442,54.70565,Šešuolių g. 1B,767
22245,400,Pasakų g.,17B,Antakalnis,Vilnius,25.33299,54.73369,Pasakų g. 17B,44
26650,2071,Eduardo Andrė g.,52,Paneriai,Vilnius,25.09829,54.63008,Eduardo Andrė g. 52,57
28261,827,Kaukysos g.,20,Rasos,Vilnius,25.31883,54.67767,Kaukysos g. 20,801
22136,286,Liepkalnio g.,288,Rasos,Vilnius,25.31548,54.60556,Liepkalnio g. 288,1309
22106,255,Krivūlės g.,8,Senamiestis,Vilnius,25.30558,54.67769,Krivūlės g. 8,153
22217,372,Nugalėtojų g.,14J,Antakalnis,Vilnius,25.33899,54.73264,Nugalėtojų g. 14J,539
49138,1989,Dvariškių g.,20,Verkiai,Vilnius,25.28405,54.79077,Dvariškių g. 20,138
241461,3153,Skalvos g.,15,Verkiai,Vilnius,25.28236,54.79106,Skalvos g. 15,123
22134,284,Lentvario g.,88,Paneriai,Vilnius,25.10295,54.64709,Lentvario g. 88,92
22441,606,Verbų skg.,32,Naujoji Vilnia,Vilnius,25.44386,54.69406,Verbų skg. 32,530
22020,166,Herkaus Manto g.,8A,Šnipiškės,Vilnius,25.28497,54.70154,Herkaus Manto g. 8A,18
21943,87,Darbininkų g.,39,Naujininkai,Vilnius,25.26986,54.65778,Darbininkų g. 39,701
22463,630,Vykinto g.,18A,Žvėrynas,Vilnius,25.25027,54.68893,Vykinto g. 18A,241
61886,2,Spyglių g.,2,Grigiškės,Vilnius,25.11178,54.66835,Spyglių g. 2,431
210872,3030,Pakupečių g.,33,Naujininkai,Vilnius,25.29982,54.6168,Pakupečių g. 33,0
22235,390,Palydovo g.,2A,Naujoji Vilnia,Vilnius,25.4096,54.69609,Palydovo g. 2A,209
21875,14,Akacijų g.,25B,Naujoji Vilnia,Vilnius,25.4094,54.69664,Akacijų g. 25B,108
278862,3378,Hetitų g.,35A,Naujoji Vilnia,Vilnius,25.36549,54.65281,Hetitų g. 35A,68
50804,1111,J. Tiškevičiaus g.,105A,Paneriai,Vilnius,25.13361,54.60634,J. Tiškevičiaus g. 105A,591
22456,623,Vismaliukų g.,34G,Antakalnis,Vilnius,25.41445,54.75479,Vismaliukų g. 34G K29,187
24284,734,Tremtinių g.,16A,Naujoji Vilnia,Vilnius,25.41321,54.69417,Tremtinių g. 16A,41
48884,1599,Obelų g.,17,Verkiai,Vilnius,25.28289,54.73537,Obelų g. 17,27
265476,3269,Kulmo g.,2A,Pilaitė,Vilnius,25.15293,54.72605,Kulmo g. 2A,105
22112,261,Kurapkų g.,11A,Naujoji Vilnia,Vilnius,25.44714,54.68562,Kurapkų g. 11A,79
