Upload_Record_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_capacity,Konteinerio_area,Konteinerio_street,Konteinerio_namas,Driver,Automobilis,Pickup_date__time,Weight_kg_,lift_point_latitude,Lift_point_longitude,Data_submission_date__time,Zona,date,season,people_on_street_nearest_avg3
1187533,13-L-312774,E20047172A906026EC15010A,1.1,Vilniaus m.,A. Juozapavičiaus g.,6,Ekonovus,,4:18:00 AM,0.0405,54.6938,25.2833,4:52:00 AM,Vilniaus m. BA5,7/7/2022,Spring,210.3333333
1187528,13-L-312775,E2004716A3006026E39C010E,1.1,Vilniaus m.,A. Juozapavičiaus g.,6,Ekonovus,,4:17:00 AM,0.04,54.6938,25.2833,4:52:00 AM,Vilniaus m. BA5,7/7/2022,Spring,210.3333333
1187531,13-L-307405,E200001D7313004809101328,1.1,Vilniaus m.,A. Juozapavičiaus g.,6,Ekonovus,,4:18:00 AM,0.0425,54.6938,25.2833,4:52:00 AM,Vilniaus m. BA5,2/1/2020,Spring,210.3333333
1187530,13-L-313542,E20047185AA06026FF16010B,1.1,Vilniaus m.,A. Juozapavičiaus g.,6,Ekonovus,,4:17:00 AM,0.0395,54.6938,25.2833,4:52:00 AM,Vilniaus m. BA5,2/14/2020,Spring,210.3333333
1187532,13-L-307406,E200001D731300860910361F,1.1,Vilniaus m.,A. Juozapavičiaus g.,6,Ekonovus,,4:18:00 AM,0.039,54.6938,25.2833,4:52:00 AM,Vilniaus m. BA5,2/1/2020,Spring,210.3333333
1192601,13-L-311682,E200470344E06026ADBA010D,0.77,Vilniaus m.,A. Mickevičiaus g.,20,Ekonovus,,12:27:00 PM,0.066,54.6899,25.2509,12:32:00 PM,Vilniaus m. BA5,8/29/2022,Spring,472.3333333
1187684,13-L-310901,0512021373FEDCBA00036532,1.1,Vilniaus m.,A. Juozapavičiaus g.,28,Ekonovus,,4:40:00 AM,0.0365,54.6913,25.2882,5:22:00 AM,Vilniaus m. BA5,5/26/2021,Autumn,1193
1189380,13-L-312680,E20047041BC06026BB28010C,1.1,Vilniaus m.,A. Vienuolio g.,1,Ekonovus,,7:39:00 AM,0.0325,54.6894,25.2775,7:52:00 AM,Vilniaus m. BA5,7/25/2022,Spring,107.3333333
1189799,13-L-313399,E200470363106026AF9D010D,1.1,Vilniaus m.,A. Vienuolio g.,1,Ekonovus,,7:40:00 AM,0.039,54.6894,25.2775,8:22:00 AM,Vilniaus m. BA5,10/14/2022,Summer,107.3333333
1193512,13-L-300655,E2000015130B02511000B6CC,1.1,Vilniaus m.,Blindžių g.,35,Ekonovus,,1:48:00 PM,0.0505,54.6956,25.2368,1:52:00 PM,Vilniaus m. BA5,11/30/2019,Autumn,255.3333333
1189531,13-L-303886,E20000175611018814308595,1.1,Vilniaus m.,Gedimino pr.,19,Ekonovus,,7:47:00 AM,0.1335,54.6885,25.2784,8:02:00 AM,Vilniaus m. BA5,11/30/2019,Autumn,2.666666667
1189529,13-L-306054,E200001D8105006825802472,1.1,Vilniaus m.,Gedimino pr.,19,Ekonovus,,7:46:00 AM,0.024,54.6885,25.2784,8:02:00 AM,Vilniaus m. BA5,2/25/2020,Autumn,2.666666667
1189532,13-L-313744,E20047176C706026F033010E,1.1,Vilniaus m.,Gedimino pr.,19,Ekonovus,,7:48:00 AM,0.0065,54.6885,25.2784,8:02:00 AM,Vilniaus m. BA5,12/3/2022,Autumn,2.666666667
1189528,13-L-303889,E200001756110230143085E6,1.1,Vilniaus m.,Gedimino pr.,19,Ekonovus,,7:46:00 AM,0.033,54.6885,25.2784,8:02:00 AM,Vilniaus m. BA5,11/30/2019,Autumn,2.666666667
1188568,13-L-313433,E2004704AD606026C4420111,1.1,Vilniaus m.,Gedimino pr.,32,Ekonovus,,6:46:00 AM,0.0295,54.6875,25.274,6:52:00 AM,Vilniaus m. BA5,11/8/2022,Spring,127.3333333
1189093,13-L-312789,E2004717AEA06026F456010F,1.1,Vilniaus m.,Gedimino pr.,12,Ekonovus,,7:21:00 AM,0.084,54.6868,25.2814,7:32:00 AM,Vilniaus m. BA5,7/18/2022,Summer,15
1189095,13-L-313823,E200471777906026F0E5010B,1.1,Vilniaus m.,Gedimino pr.,12,Ekonovus,,7:22:00 AM,0.005,54.6868,25.2814,7:32:00 AM,Vilniaus m. BA5,7/21/2021,Summer,15
1187687,13-L-303012,E20000170615017224801BF8,1.1,Vilniaus m.,A. Juozapavičiaus g.,13,Ekonovus,,4:41:00 AM,0.0355,54.6913,25.2882,5:22:00 AM,Vilniaus m. BA5,11/30/2019,Autumn,1193
1187685,13-L-307821,E200001C361601991180B09F,1.1,Vilniaus m.,A. Juozapavičiaus g.,13,Ekonovus,,4:40:00 AM,0.0335,54.6913,25.2882,5:22:00 AM,Vilniaus m. BA5,8/31/2020,Autumn,1193
