OBJECTID,ADRESAS,DATA,IVEDE,REDAG,REDAGD,IVEDED,x,y
1,"Ąžuolyno g 9, Vilnius, Viršuliškės",2021-12-31 22:00:00,,,,,579698.0380999995,6063895.6083
3,"Naugarduko g 3, Vilnius, Senamiestis
",2021-12-31 22:00:00,,,,,582385.9025999997,6060881.305299999
4,"Olandų g 48A, Vilnius, Rasos",2021-12-31 22:00:00,,,,,584539.7466000002,6061675.9070999995
5,"Smalinės g 5, Vilnius, Pilaitė",2021-12-31 22:00:00,,,,,576293.7532000002,6063454.2278
7,"Savanorių pr 54, Vilnius, Vilkpėdė",2021-12-31 22:00:00,,,,,580367.8737000003,6060275.000600001
8,"Minties g 5, Vilnius, Žirmūnai",2021-12-31 22:00:00,,,,,583630.5465000002,6063940.886700001
9,"Žėručio g 8, Vilnius, Lazdynai",2021-12-31 22:00:00,,,,,578162.0772000002,6060466.652899999
10,"Smolensko g 33, Vilnius, Naujamiestis",2021-12-31 22:00:00,,,,,581259.7259,6060629.574100001
11,"Čiobiškio g 31, Vilnius, Šeškinė",2021-12-31 22:00:00,,,,,579891.5911999997,6065434.7974
12,"Ateities g 77, Vilnius, Fabijoniškės",2021-12-31 22:00:00,,,,,580347.5366000002,6066916.0042
13,"Kalvarijų g 170, Vilnius, Šnipiškės",2021-12-31 22:00:00,,,,,582839.4484999999,6064503.0747
14,"Švyturio g 4, Vilnius, Antakalnis",2021-12-31 22:00:00,,,,,584839.1656999998,6064951.0046
15,"Papilėnų g 1, Vilnius, Pilaitė
",2021-12-31 22:00:00,,,,,576460.1924999999,6063562.5046
16,"Rudausių g, Vilnius",2021-12-31 22:00:00,,,,,588052.9965000004,6070564.6478
17,"S. Stanevičiaus g 42, Vilnius, Fabijoniškės",2021-12-31 22:00:00,,,,,580527.8720000004,6066027.9122
19,"D. Gerbutavičiaus g 10, Vilnius, Karoliniškės",2021-12-31 22:00:00,,,,,578063.4332999997,6062568.828500001
20,"Medeinos g 41, Vilnius, Pašilaičiai",2021-12-31 22:00:00,,,,,578664.3104999997,6066383.7004
21,"Gedvydžių g 2, Vilnius, Fabijoniškės",2021-12-31 22:00:00,,,,,579608.5286999997,6067326.302300001
22,"Viršuliškių g 18, Vilnius, Viršuliškės",2021-12-31 22:00:00,,,,,578893.3817999996,6064612.510600001
23,"Architektų g 91, Vilnius, Lazdynai",2021-12-31 22:00:00,,,,,578288.9738999996,6061242.1204
24,"Žirmūnų g 126, Vilnius, Žirmūnai",2021-12-31 22:00:00,,,,,583747.9252000004,6065892.576099999
25,"Rudaminos g 9, Vilnius, Naujininkai",2021-12-31 22:00:00,,,,,582683.1754999999,6059245.357899999
26,"Rūdninkų g 20, Vilnius",2021-12-31 22:00:00,,,,,582820.0032000002,6060711.2453000005
27,"Gerosios Vilties g 44, Vilnius, Vilkpėdė",2021-12-31 22:00:00,,,,,580669.8227000004,6059743.931700001
28,"Ūmėdžių g 96, Vilnius, Vilkpėdė",2021-12-31 22:00:00,,,,,578070.4199000001,6056713.069499999
29,"Taikos g 155, Vilnius, Justiniškės",2021-12-31 22:00:00,,,,,578236.8947999999,6065032.8972
30,"Gedvydžių g, Vilnius",2021-12-31 22:00:00,,,,,579926.6128000002,6067745.335200001
31,"Žirmūnų g 76, Vilnius, Žirmūnai",2021-12-31 22:00:00,,,,,583859.9571000002,6065951.1668
32,"M. Daukšos g 15, Vilnius, Senamiestis",2021-12-31 22:00:00,,,,,583565.9184999997,6060534.5737
