latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_mean (°C),wind_speed_10m_max (km/h),snowfall_sum (cm),rain_sum (mm)
2023-01-02,53,11.8,22.8,0.00,2.30
2023-01-03,3,4.8,18.7,0.00,0.00
2023-01-04,61,7.0,31.6,0.00,10.60
2023-01-05,53,7.5,34.0,0.00,1.60
2023-01-06,51,6.7,22.3,0.00,0.50
2023-01-07,3,6.9,16.4,0.00,0.00
2023-01-08,51,6.9,16.7,0.00,1.30
2023-01-09,61,5.5,19.7,0.00,4.10
2023-01-10,3,5.0,19.2,0.00,0.00
2023-01-11,61,6.4,22.0,0.00,7.40
2023-01-12,61,8.1,31.3,0.00,5.30
2023-01-13,55,8.5,27.7,0.00,2.10
2023-01-14,61,7.3,30.7,0.00,8.30
2023-01-15,61,6.8,31.6,0.00,4.00
2023-01-16,3,4.1,24.1,0.00,0.00
2023-01-17,71,2.3,27.2,0.07,0.60
2023-01-18,73,-1.4,10.2,0.56,0.40
2023-01-19,71,-0.9,17.9,0.14,0.00
2023-01-20,3,-1.8,10.0,0.00,0.00
2023-01-21,73,0.9,28.8,3.36,1.10
2023-01-22,73,1.2,18.8,0.21,0.20
2023-01-23,3,0.8,11.7,0.00,0.00
2023-01-24,3,-0.4,9.3,0.00,0.00
2023-01-25,3,0.7,8.6,0.00,0.00
2023-01-26,3,-0.5,8.9,0.00,0.00
2023-01-27,71,0.8,20.1,0.07,0.20
2023-01-28,3,-0.5,13.5,0.00,0.00
2023-01-29,71,1.3,24.3,0.14,0.00
2023-01-30,71,3.3,33.5,0.35,5.40
2023-01-31,55,3.6,33.5,0.00,4.80
2023-02-01,73,3.7,30.3,0.42,4.20
2023-02-02,51,3.2,34.8,0.00,0.70
2023-02-03,73,5.4,40.3,0.56,7.80
2023-02-04,51,0.5,24.7,0.00,0.10
2023-02-05,3,-3.0,12.5,0.00,0.00
2023-02-06,71,-2.8,14.8,0.49,0.00
2023-02-07,3,-3.7,9.8,0.00,0.00
2023-02-08,3,-2.9,15.3,0.00,0.00
2023-02-09,3,-1.7,19.8,0.00,0.00
2023-02-10,3,2.3,21.1,0.00,0.00
2023-02-11,51,5.9,25.0,0.00,0.20
2023-02-12,3,6.5,12.7,0.00,0.00
2023-02-13,51,5.9,14.4,0.00,0.10
2023-02-14,3,3.1,7.9,0.00,0.00
2023-02-15,3,1.3,12.1,0.00,0.00
2023-02-16,51,4.4,14.0,0.00,0.30
2023-02-17,53,8.4,37.3,0.00,3.40
2023-02-18,63,6.5,36.4,0.00,12.30
2023-02-19,53,4.0,23.8,0.00,2.40
